valores,rua,bairro_cidade,link
"R$650,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$300,000",Rua Amin Andraus,"Vila Caiçara, Praia Grande",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$420,220",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$681,390",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$1,550,000",Rua Marechal Barbacena,"Vila Regente Feijó, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$600,000",Av. Azevedo,"Vila Azevedo, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$208,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$248,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$449,000",Rua Dona Leopoldina,"Ipiranga, São Paulo",/imovel/237216/apartamento-3-dorms-vila_romana-sao_paulo-venda/
"R$480,000",Rua Clemente Álvares,"Lapa, São Paulo",/imovel/237216/apartamento-3-dorms-vila_romana-sao_paulo-venda/
"R$195,000",Rua Antônio Bitencourt,"Vila Prudente, São Paulo",/imovel/237127/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$185,000",Rua Antônio Bitencourt,"Vila Prudente, São Paulo",/imovel/237127/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$235,000",Rua Malie Brenner,"Vila Dom Pedro Ii, São Paulo",/imovel/237006/apartamento-4-dorms-parque_das_nacoes-santo_andre-venda/
"R$540,000",Rua Torquato Tasso,"Vila Prudente, São Paulo",/imovel/237006/apartamento-4-dorms-parque_das_nacoes-santo_andre-venda/
"R$1,280,000",Rua Eunice Weaver,"Vila Regente Feijó, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$230,000",Rua Amin Andraus,"Vila Caiçara, Praia Grande",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$960,000",Rua Doutor Brasílio Machado,"Santa Cecília, São Paulo",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$420,220",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$420,220",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$780,000",Av. Jurucê,"Indianópolis, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$1,200,000",Rua Topázio,"Vila Mariana, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$288,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$328,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$599,000",Rua Teffé,"Santa Maria, São Caetano do Sul",/imovel/237216/apartamento-3-dorms-vila_romana-sao_paulo-venda/
"R$306,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/237216/apartamento-3-dorms-vila_romana-sao_paulo-venda/
"R$1,200,000",Rua Lisboa,"Cerqueira César, São Paulo",/imovel/237127/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$430,000",Av. Lins de Vasconcelos,"Cambuci, São Paulo",/imovel/237006/apartamento-4-dorms-parque_das_nacoes-santo_andre-venda/
"R$245,000",Rua Manguari,"Jardim Andarai, São Paulo",/imovel/237006/apartamento-4-dorms-parque_das_nacoes-santo_andre-venda/
"R$1,499,000",Rua Aracaju,"Higienópolis, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$870,000",Rua Doutor Brasílio Machado,"Santa Cecília, São Paulo",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$420,220",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$869,999",Rua Santa Justina,"Vila Olímpia, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$1,300,000",Rua Teodoro de Beaurepaire,"Vila Dom Pedro I, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$248,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$221,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/237216/apartamento-3-dorms-vila_romana-sao_paulo-venda/
"R$564,000",Rua Juquis,"Indianópolis, São Paulo",/imovel/237127/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,715,000",Av. São Gabriel,"Jardim Paulista, São Paulo",/imovel/237006/apartamento-4-dorms-parque_das_nacoes-santo_andre-venda/
"R$460,000",Rua Dom Pero Leitão,"Vila Gumercindo, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$185,000",Rua Antônio Bitencourt,"Vila Prudente, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$1,650,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$900,000",Al. Jaú,"Jardim Paulista, São Paulo",/imovel/237163/apartamento-3-dorms-santa_paula-sao_caetano_do_sul-venda/
"R$681,390",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$681,390",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$3,100,000",Rua Oscar Freire,"Cerqueira César, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$1,790,000",Rua Carlos Weber,"Vila Leopoldina, São Paulo",/imovel/237184/apartamento-2-dorms-santa_efigenia-sao_paulo-venda/
"R$208,000",Rua Cavour,"Vila Prudente, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$639,000",Rua São Paulo,"Cerâmica, São Caetano do Sul",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$383,000",Rua Ibitirama,"Vila Prudente, São Paulo",/imovel/237127/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$185,000",Rua Antônio Bitencourt,"Vila Prudente, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$560,000",Rua Paulistânia,"Sumarezinho, São Paulo",/imovel/236819/apartamento-1-dorms-vila_prudente-sao_paulo-venda/
"R$1,300,000",Rua Apiacás,"Vila Pompeia, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$1,400,000",Pç. Alexandre Fleming,"Vila Cláudia, São Paulo",/imovel/128248/apartamento-2-dorms-jardim_estadio-santo_andre-venda/
"R$185,000",Rua Antônio Bitencourt,"Vila Prudente, São Paulo",/imovel/234143/apartamento-1-dorms-vila_santa_clara-sao_paulo-venda/
"R$390,000",Av. PROF. Luiz I. Anhaia Mello,"Vila Prudente, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$300,000",Rua Amin Andraus,"Vila Caiçara, Praia Grande",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$495,000",Al. dos Nhambiquaras,"Indianópolis, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$425,000",Rua Ibitirama,"Vila Prudente, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$495,000",Rua Major Basílio,"Vila Bertioga, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$379,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$1,010,000",Av. Nova Cantareira,"Tucuruvi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$3,200,000",Al. Franca,"Jardim Paulista, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$165,000",Rua Flamengo,"Vila Guilhermina, Praia Grande",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$530,000",Rua Ernesto de Castro,"Brás, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$300,000",Av. Princesa Januária,"Jardim Nova Petrópolis, São Bernardo do Campo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$360,000",Av. Doutor Washington Luís,"Vila Caminho do Mar, São Bernardo do Campo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$1,330,000",Av. Jacutinga,"Indianópolis, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$1,030,000",Rua Augusto Tolle,"Santana, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$393,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$430,000",Rua Correia de Lemos,"Chácara Inglesa, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$475,000",Rua Major Basílio,"Vila Bertioga, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$1,390,000",Rua Pirituba,"Mirandopolis, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$1,100,000",Rua Batista Caetano,"Jd. Nossa Sra. Aparecida, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$520,000",Rua Fradique Coutinho,"Pinheiros, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$449,000",Rua dos Coqueiros,"Campestre, Santo André",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$295,000",Rua Guaraja,"Vila Mazzei, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$691,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,250,000",Rua Garapeba,"Jardim Vila Mariana, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$690,000",Rua Texas,"Brooklin Paulista, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$735,000",Rua Laura,"Jardim Bela Vista, Santo André",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$1,060,000",Av. Pe. Antônio José dos Santos,"Cidade Monções, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$569,000",Rua Garção Tinoco,"Santana, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$395,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$397,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$380,000",Rua Ibitirama,"Vila Prudente, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$2,150,000",Rua Manuel Guedes,"Itaim Bibi, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$250,000",Rua Doutor Sílvio Noronha,"Cidade Continental, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$1,450,000",Rua Turiassu,"Perdizes, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$1,390,000",Rua Pedro Doll,"Santana, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$347,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$348,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$280,000",Rua Angela Tomé,"Rudge Ramos, São Bernardo do Campo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$2,670,000",Al. dos Aicás,"Indianópolis, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$638,000",Rua Oscar Freire,"Pinheiros, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$745,000",Pç. Japuba,"Vila Madalena, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$3,000,000",Rua Nilo,"Aclimação, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$1,980,000",Al. Barros,"Santa Cecília, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$429,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$550,000",Rua Santo Amaro,"Bela Vista, São Paulo",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$360,000",Av. André Ramalho,"Jardim Monte Líbano, Santo André",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$2,000,000",Rua Paraguassu,"Perdizes, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$450,000",Rua CORONEL SEABRA,"Vila Marina, Santo André",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$624,000",Rua Calixto da Mota,"Vila Mariana, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$1,400,000",Av. Nove de Julho,"Jardim Paulista, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$430,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$852,000",Av. Cidade Jardim,"Itaim Bibi, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$300,000",Rua Amin Andraus,"Vila Caiçara, Praia Grande",/imovel/2645/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$490,000",Rua Cotoxó,"Vila Pires, Santo André",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$499,000",Rua Marapuama,"Alto da Lapa, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$370,000",Av. Caetano Gornati,"Engordadouro, Jundiaí",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$590,000",Rua Jacareí,"Bela Vista, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$372,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$800,000",Rua Pamplona,"Jardim Paulista, São Paulo",/imovel/237260/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$750,000",Rua Vergueiro,"Vila Mariana, São Paulo",/imovel/123814/apartamento-1-dorms-jardim_paulista-sao_paulo-venda/
"R$470,000",Rua Porto Alegre,"Vila Bertioga, São Paulo",/imovel/237076/apartamento-2-dorms-vila_caicara-praia_grande-venda/
"R$750,000",Rua Sylvio Delduque,"Água Fria, São Paulo",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$520,000",Rua Fradique Coutinho,"Pinheiros, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$985,000",Rua Alvorada,"Vila Olímpia, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$374,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$639,000",Rua Martim Afonso de Souza,"Vila Leopoldina, Santo André",/imovel/237342/apartamento-1-dorms-indianopolis-sao_paulo-venda/
"R$500,000",Rua Professor Tamandaré Toledo,"Itaim Bibi, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$2,703,000",Rua Manoel da Nóbrega,"Paraíso, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$380,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237419/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$460,000",Rua João Soares,"Quarta Parada, São Paulo",/imovel/237345/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$469,000",Rua Major Basílio,"Vila Bertioga, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$530,000",Rua Major Basílio,"Vila Bertioga, São Paulo",/imovel/237460/apartamento-2-dorms-vila_bertioga-sao_paulo-venda/
"R$382,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$505,000",Rua Caio Prado,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$520,000",Rua Caio Prado,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$350,000",Av. Olinto Demarchi,"Jardim Borborema, São Bernardo do Campo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$640,000",Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,250,000",Rua Ilansa,"Vila Prudente, São Paulo",/imovel/237348/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$329,900",Rua Saguairu,"Casa Verde, São Paulo",/imovel/237614/apartamento-2-dorms-casa_verde-sao_paulo-venda/
"R$1,200,000",Rua Doutor Alceu de Campos Rodrigues,"Vila Nova Conceição, São Paulo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$610,000",Rua Caio Prado,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$580,000",Rua Municipal,"Centro, São Bernardo do Campo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$320,000",Av. DOUTOR ALBERTO BENEDETTI,"Vila Santa Teresa, Santo André",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$460,000",Rua Butiá,"Vila Regente Feijó, São Paulo",/imovel/237578/apartamento-2-dorms-vila_regente_feijo-sao_paulo-venda/
"R$330,000",Av. Cipriano Rodrigues,"Vila Formosa, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$650,000",Rua Elias Antonio Zogbi,"Santo Amaro, São Paulo",/imovel/237348/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$230,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237614/apartamento-2-dorms-casa_verde-sao_paulo-venda/
"R$240,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237614/apartamento-2-dorms-casa_verde-sao_paulo-venda/
"R$1,800,000",Rua Prof. Pedreira de Freitas,"Tatuapé, São Paulo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$1,064,000",Av. Padre Antônio José dos Santos,"Cidade Monções, São Paulo",/imovel/237544/apartamento-2-dorms-cidade_moncoes-sao_paulo-venda/
"R$535,000",Rua Caio Prado,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$910,000",Rua Doutor Eduardo de Souza Aranha,"Vila Nova Conceição, São Paulo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$2,340,000",Rua Professor Artur Ramos,"Jardim Paulistano, São Paulo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$230,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237578/apartamento-2-dorms-vila_regente_feijo-sao_paulo-venda/
"R$380,000",Rua São Ticiano,"Vila Formosa, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$295,000",Rua Pedro Voss,"Vila Carrão, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$355,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/237348/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$240,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237614/apartamento-2-dorms-casa_verde-sao_paulo-venda/
"R$650,000",Rua Guanhães,"Parque da Vila Prudente, São Paulo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$240,000",Rua Zurich,"Suiço, São Bernardo do Campo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$1,500,000",Rua Abílio Soares,"Paraíso, São Paulo",/imovel/237544/apartamento-2-dorms-cidade_moncoes-sao_paulo-venda/
"R$1,000,000",Rua Coronel Luís Barroso,"Santo Amaro, São Paulo",/imovel/237544/apartamento-2-dorms-cidade_moncoes-sao_paulo-venda/
"R$585,000",Rua Caio Prado,"Consolação, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$380,000",Rua Martiniano de Carvalho,"Bela Vista, São Paulo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$1,800,000",Rua Matias Aires,"Consolação, São Paulo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$225,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237578/apartamento-2-dorms-vila_regente_feijo-sao_paulo-venda/
"R$215,000",Rua Pedro Voss,"Vila Carrão, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$320,000",Rua Renato Rinaldi,"Vila Carrão, São Paulo",/imovel/237348/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
"R$240,000",Rua George Chahestian,"Vila Basileia, São Paulo",/imovel/237614/apartamento-2-dorms-casa_verde-sao_paulo-venda/
"R$269,000",Rua Doutor Amâncio de Carvalho,"Vila Baeta Neves, São Bernardo do Campo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$369,900",Rua Saguairu,"Casa Verde, São Paulo",/imovel/177509/apartamento-2-dorms-vila_nova_conceicao-sao_paulo-venda/
"R$700,000",Rua Inhambú,"Vila Uberabinha, São Paulo",/imovel/237544/apartamento-2-dorms-cidade_moncoes-sao_paulo-venda/
"R$199,000",Rua Malie Brenner,"Vila Dom Pedro Ii, São Paulo",/imovel/237438/apartamento-1-dorms-consolacao-sao_paulo-venda/
"R$350,000",Av. Mazzei,"Vila Mazzei, São Paulo",/imovel/237487/apartamento-2-dorms-jardim_borborema-sao_bernardo_do_campo-venda/
"R$426,000",Rua Vigário João José Rodrigues,"Centro, Jundiaí",/imovel/237578/apartamento-2-dorms-vila_regente_feijo-sao_paulo-venda/
"R$1,300,000",Av. Barão de Teffe,"Jardim Ana Maria, Jundiaí",/imovel/237578/apartamento-2-dorms-vila_regente_feijo-sao_paulo-venda/
"R$980,000",Rua Conceição de Monte Alegre,"Cidade Monções, São Paulo",/imovel/237514/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,650,000",Rua Baronesa de Itu,"Santa Cecília, São Paulo",/imovel/237348/apartamento-3-dorms-vila_prudente-sao_paulo-venda/
