valores,rua,bairro_cidade,link
"R$790,000",Rua Pereira da Nóbrega,"Vila Monumento, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$345,000",Rua Das Cobeias,"Vila Bela, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,370,000",Rua Catão,"Vila Romana, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$2,700,000",Rua Sapucaia,"Alto da Moóca, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$725,000",Av. Doutor Altino Arantes,"Vila Clementino, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$750,000",Rua João Moura,"Pinheiros, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,290,000",Rua Sansão Alves dos Santos,"Cidade Monções, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,170,000",Rua Visconde de Inhaúma,"Vila da Saúde, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$2,100,000",Al. Sarutaiá,"Jardim Paulista, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$500,000",Rua Visconde de Parnaíba ,"Mooca, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$730,000",Av. Júlio Buono,"Vila Gustavo, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$2,500,000",Rua Vicente Romano,"Parque da Mooca, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$650,000",Rua Wandenkolk,"Mooca, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$1,490,000",Rua Piranhas,"Vila Lilica, Santo André",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,700,000",Rua Itacema,"Itaim Bibi, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,755,000",Rua Caminho do Pilar,"Vila Gilda, Santo André",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$2,700,000",Rua dos Ingleses,"Morro dos Ingleses, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$775,000",Rua Gaspar Fernandes,"Vila Monumento, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$1,100,000",Rua do Imperador,"Vila Paiva, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$340,000",Rua Lupércio de Miranda,"Campestre, Santo André",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$750,000",Rua Bimbarra,"Vila Formosa, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$1,385,000",Rua Espírito Santo,"Aclimação, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$260,000",Rua Francisco Rossano,"Sítio da Figueira, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,250,000",Av. Itaboraí,"Bosque da Saúde, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$230,000",Rua Frei Caneca,"Consolação, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$860,000",Rua Visconde de Inhaúma,"Vila da Saúde, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$1,100,000",Rua do Imperador,"Vila Paiva, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,450,000",Av. Rouxinol,"Indianópolis, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,150,000",Rua Cardoso de Almeida,"Perdizes, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,650,000",Rua Ibitinga,"Vila Bertioga, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$799,000",Av. Rebouças,"Pinheiros, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,400,000",Al. Santos,"Cerqueira César, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,250,000",Rua Alves Guimarães,"Pinheiros, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$250,000",Rua Muritinga,"Vila Floresta, Santo André",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$400,000",Rua Arnaldo Cintra,"Vila Moreira, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$1,200,000",Rua Loefgren,"Vila Clementino, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,360,000",Rua Piranhas,"Vila Lilica, Santo André",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$500,000",Rua Aluísio Azevedo,"Santana, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$5,320,000",Pç. Visconde de Sousa Fontes,"Parque da Mooca, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$475,000",Rua Coronel Evaristo de Campos,"Santa Teresinha, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$552,000",Rua Apotribu,"Parque Imperial, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,134,011",Rua Biobedas,"Parque Imperial, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$1,750,000",Rua Oscar Freire,"Cerqueira César, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$470,000",Rua Juventus,"Parque da Mooca, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,280,000",Rua Piranhas,"Vila Lilica, Santo André",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$389,000",Rua Luís Góis,"Mirandopolis, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$1,250,000",Rua Helena,"Vila Olímpia, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,000,000",Av. Macuco,"Indianópolis, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$245,000",Rua Antônio Tavares,"Cambuci, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,200,000",Rua Marlene,"Nova Gerty, São Caetano do Sul",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$1,190,000",Rua Dom Antônio Barreiros,"Vila Gumercindo, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$960,000",Av. Das Nações Unidas,"Centro, São Bernardo do Campo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,700,000",Rua Itacema,"Itaim Bibi, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,200,000",Rua Antônio Carlos,"Consolação, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$560,000",Rua Marquês de Praia Grande,"Vila Prudente, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,075,000",Rua Flórida,"Santa Paula, São Caetano do Sul",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,300,000",Rua Coronel Oscar Porto,"Paraíso, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$380,000",Rua Monsenhor João Felipo,"Mooca, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
"R$790,000",Al. Sarutaiá,"Jardim Paulista, São Paulo",/imovel/236117/apartamento-3-dorms-vila_monumento-sao_paulo-venda/
"R$1,500,000",Rua Pamplona ,"Jardim Paulista, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$1,180,000",Rua Peixoto Gomide,"Jardim Paulista, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,760,000",Rua Rio Grande,"Vila Mariana, São Paulo",/imovel/236123/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
"R$950,000",Rua Oscar Freire,"Cerqueira César, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$1,200,000",Av. Industrial,"Jardim, Santo André",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$550,000",Rua José Debieux,"Santana, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
